request_id,timestamp,latency,token_count,response_length,model,status
923f5ef9-a385-4a,2025-12-23 13:07:02.712223,8.42181134223938,134,929,tinyllama,success
0ffbdcb5-196a-49,2025-12-23 13:07:12.668138,7.952787637710571,147,1003,tinyllama,success
9b8ca4ae-165c-40,2025-12-23 13:07:36.344845,4.704106092453003,54,365,tinyllama,success
93d618d4-b566-41,2025-12-23 13:07:49.512517,9.161303043365479,144,936,tinyllama,success
198e481b-91d6-40,2025-12-23 13:08:34.931622,5.890848875045776,103,661,tinyllama,success
a22887b8-7b13-4a,2025-12-23 13:09:22.553996,17.064789533615112,313,2085,tinyllama,success
d9e33878-8666-48,2025-12-23 13:18:10.202527,7.779127359390259,168,1104,tinyllama,success
950dc162-607a-4a,2025-12-23 13:18:22.336561,9.128116607666016,219,1372,tinyllama,success
128e5a0d-a1f8-48,2025-12-23 13:18:28.471064,3.1274020671844482,24,132,tinyllama,success
70576f4d-797f-49,2025-12-23 13:18:37.008913,5.5348615646362305,76,439,tinyllama,success
d7703efa-2690-48,2025-12-23 15:20:55.241493,5.403870105743408,100,655,tinyllama,success
6704486b-3c1d-44,2025-12-23 15:56:08.089414,3.7537293434143066,64,377,tinyllama,success
efd0dd2a-64ba-49,2025-12-23 15:56:23.881800,4.183550596237183,74,560,tinyllama,success
d513a7c8-3ec4-4c,2025-12-23 15:57:11.902058,5.844949007034302,134,934,tinyllama,success
d95940b1-b613-48,2025-12-23 15:57:20.070485,4.629728317260742,84,584,tinyllama,success
0558f21a-a209-45,2025-12-23 15:57:31.970382,8.349879741668701,139,895,tinyllama,success
af1b6db1-9c48-44,2025-12-23 15:58:12.313833,5.755255222320557,136,889,tinyllama,success
38d6c7a7-8f2d-4f,2025-12-23 15:59:21.491956,11.072773218154907,275,1901,tinyllama,success
8a405258-b176-4a,2025-12-23 16:08:22.561399,5.5925469398498535,87,577,tinyllama,success
39ee4b13-07a9-41,2025-12-23 16:08:30.666723,4.5693724155426025,78,516,tinyllama,success
8d8c7e48-e3a8-4f,2025-12-23 16:08:39.210765,4.969892740249634,101,662,tinyllama,success
577bc29d-8120-47,2025-12-23 16:10:19.610116,7.079633474349976,183,1321,tinyllama,success
a60d7600-741d-4f,2025-12-23 16:10:31.500479,8.362279891967773,195,1378,tinyllama,success
eb1a5980-69d3-4e,2025-12-23 16:11:00.770175,5.622909307479858,145,864,tinyllama,success
65137f77-3333-4a,2025-12-23 13:06:35.796486,9.262520551681519,174,1096,tinyllama,success
47a99708-a7cc-4f,2025-12-23 13:06:52.285388,14.485129356384277,282,1866,tinyllama,success
430249c4-d8ef-4a,2025-12-23 13:08:25.036990,7.083924055099487,83,484,tinyllama,success
c68b0cc0-9b84-40,2025-12-23 13:08:45.839711,6.902174711227417,118,823,tinyllama,success
d6b9f8c0-1340-40,2025-12-23 13:17:59.417224,5.904754638671875,53,351,tinyllama,success
385d4c4e-3277-4f,2025-12-23 15:21:22.131465,4.680964469909668,58,335,tinyllama,success
